Day,Month,Year,Alarm Time,Total Time Until Fully Awake
1,1,2022,8:00,50
2,1,2022,9:15,100
3,2,2022,10:30,100
4,3,2022,9:15,70
5,3,2022,10:30,30
6,4,2022,8:00,5
7,5,2022,9:15,80
8,6,2022,8:45,60
9,6,2022,8:00,45
10,7,2022,8:45,20
11,7,2022,8:45,55
12,8,2022,8:00,70
13,8,2022,8:00,35
14,8,2022,8:00,50
15,9,2022,8:00,5
16,9,2022,8:45,10
17,9,2022,8:45,5
18,10,2022,8:45,15
19,10,2022,8:45,45
20,11,2022,9:15,55
21,11,2022,9:15,45
22,11,2022,8:00,35
23,11,2022,8:00,10
24,12,2022,8:00,20
25,12,2022,9:15,50
26,12,2022,8:45,35
27,12,2022,8:45,65
28,12,2022,8:45,15
29,12,2022,8:00,5
30,12,2022,9:15,15
31,12,2022,8:00,15
1,12,2022,10:20,35
2,12,2022,10:20,20
3,12,2022,10:20,5
